,n_com,I,C,M,R,L
3,3.0,3.0,0.04007,0.02165,0.9919,0.16086
4,3.0,4.0,0.03751,0.00538,0.34384,0.27153
5,3.0,5.0,0.0362,0.01829,0.83072,0.4232
6,3.0,6.0,0.08594,0.03657,0.86554,0.26683
7,3.0,7.0,0.04672,0.01731,0.07178,0.13938
8,3.0,8.0,0.06666,0.02246,0.14108,0.02851
9,3.0,9.0,0.0795,0.01418,0.90165,0.03776
10,3.0,10.0,0.04004,0.02086,0.26984,0.46544
11,3.0,11.0,0.04771,0.01283,0.82855,0.04079
12,3.0,12.0,0.04624,0.00997,0.52821,0.18254
13,3.0,13.0,0.07854,0.04066,0.30595,0.00835
14,3.0,14.0,0.09848,0.03099,0.90235,0.205
15,3.0,15.0,0.12009,0.01953,0.54965,0.01757
16,3.0,16.0,0.08403,0.04191,0.58201,0.01588
17,3.0,17.0,0.12634,0.04538,0.62307,0.04055
18,3.0,18.0,0.09442,0.04946,0.02286,0.00385
19,3.0,19.0,0.11766,0.0564,0.81574,0.03754
20,3.0,20.0,0.13637,0.03021,0.229,0.16872
21,3.0,21.0,0.09962,0.03902,0.77366,0.03888
22,3.0,22.0,0.15356,0.0626,0.1863,0.01587
23,3.0,23.0,0.14143,0.05254,0.17108,0.25411
24,3.0,24.0,0.11303,0.04446,0.13818,0.05245
25,3.0,25.0,0.09399,0.03668,0.89998,0.33794
26,3.0,26.0,0.10184,0.06835,0.28591,0.21603
27,3.0,27.0,0.15495,0.05618,0.45658,0.00786
28,3.0,28.0,0.18216,0.05181,0.98056,0.05247
29,3.0,29.0,0.14338,0.03452,0.83669,0.00404
30,3.0,30.0,0.22887,0.07294,0.29908,0.27166
1,4.0,1.0,0.02727,0.00242,0.27705,0.00337
2,4.0,2.0,0.02457,0.0108,0.03002,0.10711
3,4.0,3.0,0.02116,0.00251,0.29656,0.10292
4,4.0,4.0,0.08317,0.01527,0.40796,0.01451
5,4.0,5.0,0.0445,0.00659,0.40785,0.00676
6,4.0,6.0,0.03878,0.00671,0.78238,0.00819
7,4.0,7.0,0.0432,0.00535,0.31597,0.45479
8,4.0,8.0,0.10947,0.02176,0.8683,0.04651
9,4.0,9.0,0.05541,0.01131,0.9497,0.01362
10,4.0,10.0,0.06101,0.00605,0.56541,0.06531
11,4.0,11.0,0.09456,0.0143,0.45278,0.15312
12,4.0,12.0,0.06599,0.0246,0.61168,0.01644
13,4.0,13.0,0.09739,0.01418,0.17071,0.02255
14,4.0,14.0,0.07562,0.01361,0.90204,0.02818
15,4.0,15.0,0.14235,0.01721,0.40641,0.13136
16,4.0,16.0,0.09661,0.05506,0.45929,0.24888
17,4.0,17.0,0.13222,0.0536,0.23623,0.23371
18,4.0,18.0,0.09576,0.0558,0.14859,0.02151
19,4.0,19.0,0.10571,0.02079,0.20863,0.14881
20,4.0,20.0,0.119,0.03764,0.18064,0.01239
21,4.0,21.0,0.0669,0.02625,0.70846,0.09842
22,4.0,22.0,0.06608,0.02758,0.55972,0.26425
23,4.0,23.0,0.15753,0.03602,0.27704,0.29248
24,4.0,24.0,0.20594,0.03558,0.88835,0.03919
25,4.0,25.0,0.13236,0.04177,0.66064,0.1017
26,4.0,26.0,0.1198,0.03063,0.56781,0.00211
27,4.0,27.0,0.14087,0.06412,0.07198,0.08454
28,4.0,28.0,0.11308,0.0609,0.31852,0.21844
29,4.0,29.0,0.14321,0.04911,0.67035,0.00364
30,4.0,30.0,0.15881,0.06096,0.13218,0.00908
1,5.0,1.0,0.04355,0.00241,0.87733,0.01285
2,5.0,2.0,0.02194,0.01098,0.39095,0.28295
3,5.0,3.0,0.05877,0.00725,0.40136,0.02588
4,5.0,4.0,0.09174,0.03044,0.10208,0.01326
5,5.0,5.0,0.06034,0.01572,0.19963,0.04645
6,5.0,6.0,0.05988,0.02087,0.35464,0.0088
7,5.0,7.0,0.01217,0.01117,0.94543,0.01488
8,5.0,8.0,0.0354,0.01567,0.78744,0.00748
9,5.0,9.0,0.05204,0.03067,0.56024,0.00434
10,5.0,10.0,0.09672,0.03965,0.87035,0.38832
11,5.0,11.0,0.0851,0.01548,0.38612,0.3222
12,5.0,12.0,0.04155,0.01297,0.03443,0.01154
13,5.0,13.0,0.0717,0.02142,0.80329,0.33473
14,5.0,14.0,0.12231,0.02075,0.00188,0.00225
15,5.0,15.0,0.08355,0.02922,0.9214,0.00322
16,5.0,16.0,0.09955,0.04272,0.0802,0.02581
17,5.0,17.0,0.15242,0.03807,0.36436,0.0107
18,5.0,18.0,0.1314,0.02818,0.71354,0.06882
19,5.0,19.0,0.14168,0.05168,0.4313,0.00601
20,5.0,20.0,0.10707,0.0226,0.3512,0.07359
21,5.0,21.0,0.10463,0.03453,0.58182,0.40568
22,5.0,22.0,0.21207,0.02081,0.48983,0.01419
23,5.0,23.0,0.14801,0.04721,0.57331,0.09289
24,5.0,24.0,0.1138,0.07868,0.50771,0.00295
25,5.0,25.0,0.15585,0.03437,0.24802,0.00624
26,5.0,26.0,0.14313,0.06003,0.96181,0.00467
27,5.0,27.0,0.14584,0.0482,0.82445,0.03539
28,5.0,28.0,0.17141,0.04418,0.50388,0.07633
29,5.0,29.0,0.17407,0.06808,0.30006,0.01083
30,5.0,30.0,0.1683,0.02541,0.39047,0.39738
1,6.0,1.0,0.01186,0.00665,0.60368,0.09987
2,6.0,2.0,0.06135,0.00801,0.48952,0.00424
3,6.0,3.0,0.04312,0.00213,0.2427,0.01095
4,6.0,4.0,0.05543,0.02735,0.93526,0.12216
5,6.0,5.0,0.05405,0.02051,0.24501,0.11748
6,6.0,6.0,0.01717,0.00057,0.00328,0.37402
7,6.0,7.0,0.05742,0.00342,0.79275,0.04697
8,6.0,8.0,0.02798,0.0105,0.38385,0.01305
9,6.0,9.0,0.09721,0.0226,0.75666,0.04866
10,6.0,10.0,0.06673,0.02402,0.01382,0.02758
11,6.0,11.0,0.06524,0.03075,0.24299,0.22284
12,6.0,12.0,0.13375,0.03784,0.05498,0.05911
13,6.0,13.0,0.1572,0.01169,0.57519,0.05454
14,6.0,14.0,0.06053,0.01098,0.26283,0.02315
15,6.0,15.0,0.16219,0.00914,0.52243,0.00354
16,6.0,16.0,0.11509,0.02147,0.6517,0.15786
17,6.0,17.0,0.09213,0.03727,0.22814,0.2991
18,6.0,18.0,0.12758,0.01375,0.29304,0.01742
19,6.0,19.0,0.10042,0.03219,0.53802,0.35486
20,6.0,20.0,0.11071,0.02258,0.03897,0.01839
21,6.0,21.0,0.13928,0.04093,0.44817,0.00863
22,6.0,22.0,0.14059,0.04203,0.71979,0.00867
23,6.0,23.0,0.12955,0.03726,0.72134,0.02547
24,6.0,24.0,0.14606,0.04059,0.46677,0.01067
25,6.0,25.0,0.12347,0.03163,0.30713,0.01213
26,6.0,26.0,0.18222,0.06096,0.48302,0.04038
27,6.0,27.0,0.15822,0.03249,0.70076,0.00372
28,6.0,28.0,0.18242,0.03631,0.70913,0.05663
29,6.0,29.0,0.17262,0.06474,0.06529,0.05617
30,6.0,30.0,0.143,0.0479,0.57196,0.01509
1,7.0,1.0,0.04284,0.01657,0.79771,0.01322
2,7.0,2.0,0.03209,0.00711,0.8489,0.00337
3,7.0,3.0,0.081,0.01416,0.87415,0.01491
4,7.0,4.0,0.07327,0.01662,0.96776,0.10002
5,7.0,5.0,0.04709,0.0334,0.0129,0.06069
6,7.0,6.0,0.0897,0.02359,0.50029,0.44509
7,7.0,7.0,0.04874,0.01397,0.20891,0.00232
8,7.0,8.0,0.08593,0.02346,0.36538,0.18521
9,7.0,9.0,0.0376,0.01364,0.79461,0.00407
10,7.0,10.0,0.08838,0.01028,0.42721,0.04454
11,7.0,11.0,0.07089,0.0424,0.14138,0.00563
12,7.0,12.0,0.05524,0.01522,0.94555,0.00466
13,7.0,13.0,0.05911,0.03322,0.99741,0.15731
14,7.0,14.0,0.0928,0.01505,0.06213,0.07845
15,7.0,15.0,0.06734,0.00617,0.35654,0.07265
16,7.0,16.0,0.05215,0.02659,0.08428,0.16253
17,7.0,17.0,0.10156,0.03078,0.8862,0.03575
18,7.0,18.0,0.10966,0.04527,0.86642,0.01585
19,7.0,19.0,0.10867,0.06445,0.44949,0.01034
20,7.0,20.0,0.08329,0.0311,0.52637,0.00241
21,7.0,21.0,0.11213,0.02816,0.58043,0.05526
22,7.0,22.0,0.12854,0.02484,0.02904,0.03999
23,7.0,23.0,0.14434,0.02665,0.94889,0.00435
24,7.0,24.0,0.10421,0.03535,0.56072,0.00538
25,7.0,25.0,0.17921,0.05129,0.97313,0.0239
26,7.0,26.0,0.14007,0.05564,0.71972,0.07398
27,7.0,27.0,0.13357,0.04617,0.20862,0.0652
28,7.0,28.0,0.14763,0.03221,0.26626,0.01882
29,7.0,29.0,0.14092,0.03934,0.77206,0.06447
30,7.0,30.0,0.12539,0.05198,0.04006,0.12649
1,8.0,1.0,0.02515,0.01294,0.69506,0.05403
2,8.0,2.0,0.00251,0.00187,0.46935,0.01366
3,8.0,3.0,0.01617,0.01364,0.93697,0.14651
4,8.0,4.0,0.07815,0.01226,0.36878,0.01619
5,8.0,5.0,0.03668,0.02476,0.41739,0.05711
6,8.0,6.0,0.09426,0.01103,0.05203,0.04566
7,8.0,7.0,0.08673,0.03095,0.35488,0.03678
8,8.0,8.0,0.06236,0.03863,0.24908,0.03759
9,8.0,9.0,0.03128,0.01331,0.47558,0.0171
10,8.0,10.0,0.05651,0.00893,0.26596,0.22992
11,8.0,11.0,0.05193,0.02078,0.85799,0.00814
12,8.0,12.0,0.17692,0.01224,0.29354,0.06035
13,8.0,13.0,0.13358,0.01821,0.86018,0.01966
14,8.0,14.0,0.10481,0.02082,0.79408,0.05059
15,8.0,15.0,0.11976,0.00332,0.83315,0.09653
16,8.0,16.0,0.1137,0.04306,0.95252,0.05434
17,8.0,17.0,0.05062,0.01782,0.34135,0.04789
18,8.0,18.0,0.11919,0.04676,0.5621,0.01307
19,8.0,19.0,0.15344,0.0315,0.50621,0.08267
20,8.0,20.0,0.10948,0.05459,0.42619,0.01457
21,8.0,21.0,0.11198,0.02505,0.00737,0.00534
22,8.0,22.0,0.09736,0.0497,0.27192,0.02106
23,8.0,23.0,0.1013,0.03304,0.6385,0.01244
24,8.0,24.0,0.13355,0.05482,0.91308,0.01556
25,8.0,25.0,0.16094,0.04284,0.18164,0.02362
26,8.0,26.0,0.13738,0.0357,0.0053,0.01026
27,8.0,27.0,0.14909,0.04402,0.07037,0.02993
28,8.0,28.0,0.18465,0.04692,0.62289,0.09928
29,8.0,29.0,0.16321,0.03454,0.06323,0.3922
30,8.0,30.0,0.17859,0.05063,0.09125,0.1084
1,9.0,1.0,0.02876,0.00853,0.52157,0.00669
2,9.0,2.0,0.00948,0.00762,0.56629,0.05033
3,9.0,3.0,0.03111,0.01124,0.08493,0.2108
4,9.0,4.0,0.07249,0.04614,0.63137,0.08468
5,9.0,5.0,0.09923,0.01408,0.07296,0.33531
6,9.0,6.0,0.07966,0.00577,0.33163,0.03917
7,9.0,7.0,0.01561,0.01431,0.94248,0.0035
8,9.0,8.0,0.03909,0.00386,0.7995,0.00224
9,9.0,9.0,0.06685,0.00176,0.55588,0.02923
10,9.0,10.0,0.11112,0.01134,0.8896,0.00207
11,9.0,11.0,0.03225,0.013,0.60938,0.08226
12,9.0,12.0,0.05363,0.0351,0.11398,0.00438
13,9.0,13.0,0.08608,0.04698,0.81778,0.04032
14,9.0,14.0,0.13019,0.02899,0.49923,0.02039
15,9.0,15.0,0.11048,0.026,0.07021,0.01915
16,9.0,16.0,0.06514,0.05528,0.17486,0.01271
17,9.0,17.0,0.09247,0.03652,0.73584,0.00246
18,9.0,18.0,0.12055,0.03394,0.5953,0.05559
19,9.0,19.0,0.11754,0.03229,0.16851,0.00817
20,9.0,20.0,0.04218,0.03139,0.44118,0.00541
21,9.0,21.0,0.11613,0.03808,0.06231,0.00677
22,9.0,22.0,0.12119,0.04011,0.87161,0.43384
23,9.0,23.0,0.09868,0.04223,0.54273,0.01856
24,9.0,24.0,0.10743,0.03249,0.68876,0.11065
25,9.0,25.0,0.15607,0.04186,0.57491,0.00518
26,9.0,26.0,0.0795,0.0177,0.95087,0.02706
27,9.0,27.0,0.13552,0.03866,0.28921,0.00357
28,9.0,28.0,0.10811,0.05007,0.94852,0.00443
29,9.0,29.0,0.19919,0.04215,0.04657,0.01788
30,9.0,30.0,0.16014,0.05199,0.8211,0.01131
1,10.0,1.0,0.01947,0.00873,0.68752,0.11874
2,10.0,2.0,0.01999,0.00681,0.79904,0.01668
3,10.0,3.0,0.01414,0.00524,0.39552,0.03108
4,10.0,4.0,0.09296,0.00555,0.42972,0.0134
5,10.0,5.0,0.08728,0.00438,0.6874,0.00227
6,10.0,6.0,0.04016,0.01822,0.27501,0.0111
7,10.0,7.0,0.11061,0.03018,0.67079,0.01076
8,10.0,8.0,0.07562,0.01661,0.24797,0.31457
9,10.0,9.0,0.05926,0.013,0.49164,0.21504
10,10.0,10.0,0.03236,0.01759,0.32521,0.00457
11,10.0,11.0,0.07793,0.02075,0.64778,0.16776
12,10.0,12.0,0.08774,0.00811,0.9143,0.01951
13,10.0,13.0,0.06979,0.04596,0.09373,0.19982
14,10.0,14.0,0.02331,0.01461,0.53579,0.46519
15,10.0,15.0,0.05692,0.02385,0.5396,0.02822
16,10.0,16.0,0.06715,0.00465,0.78155,0.02192
17,10.0,17.0,0.06916,0.05049,0.28647,0.0114
18,10.0,18.0,0.05234,0.03868,0.9399,0.0091
19,10.0,19.0,0.14484,0.02762,0.53739,0.35405
20,10.0,20.0,0.11637,0.01313,0.02189,0.00472
21,10.0,21.0,0.10046,0.0154,0.85742,0.02624
22,10.0,22.0,0.09897,0.04128,0.45981,0.0232
23,10.0,23.0,0.13413,0.04201,0.3542,0.00532
24,10.0,24.0,0.13389,0.03007,0.97385,0.00447
25,10.0,25.0,0.16059,0.05193,0.25877,0.03045
26,10.0,26.0,0.16569,0.01643,0.17163,0.00496
27,10.0,27.0,0.15116,0.03797,0.79788,0.09762
28,10.0,28.0,0.20948,0.05541,0.56088,0.25661
29,10.0,29.0,0.14802,0.05742,0.97466,0.26628
30,10.0,30.0,0.10437,0.05317,0.6763,0.01242
1,11.0,1.0,0.05479,0.0016,0.83,0.03545
2,11.0,2.0,0.04183,0.00441,0.74678,0.05608
3,11.0,3.0,0.03169,0.0077,0.81735,0.02678
4,11.0,4.0,0.02748,0.01656,0.47246,0.20783
5,11.0,5.0,0.0601,0.00032,0.23533,0.00786
6,11.0,6.0,0.0983,0.02843,0.4221,0.01064
7,11.0,7.0,0.07992,0.03671,0.48089,0.09356
8,11.0,8.0,0.06216,0.02827,0.4465,0.09452
9,11.0,9.0,0.094,0.0194,0.62418,0.00487
10,11.0,10.0,0.07677,0.03826,0.78715,0.18059
11,11.0,11.0,0.04631,0.01503,0.92254,0.00248
12,11.0,12.0,0.09367,0.03857,0.19513,0.00557
13,11.0,13.0,0.13254,0.01755,0.54751,0.1669
14,11.0,14.0,0.16208,0.00784,0.85693,0.00664
15,11.0,15.0,0.11775,0.01464,0.90022,0.05586
16,11.0,16.0,0.10928,0.03789,0.88327,0.0026
17,11.0,17.0,0.09264,0.03469,0.88058,0.07302
18,11.0,18.0,0.10378,0.00759,0.60079,0.12192
19,11.0,19.0,0.14622,0.03682,0.12069,0.06409
20,11.0,20.0,0.08446,0.02006,0.08134,0.00747
21,11.0,21.0,0.08025,0.04838,0.27373,0.44524
22,11.0,22.0,0.13008,0.01249,0.35185,0.0631
23,11.0,23.0,0.11253,0.0387,0.15768,0.06084
24,11.0,24.0,0.14846,0.03547,0.97779,0.00338
25,11.0,25.0,0.12298,0.06979,0.23406,0.04439
26,11.0,26.0,0.14804,0.04522,0.3243,0.00239
27,11.0,27.0,0.13099,0.06699,0.54211,0.11716
28,11.0,28.0,0.16517,0.03707,0.14086,0.00393
29,11.0,29.0,0.12076,0.05676,0.59924,0.05551
30,11.0,30.0,0.18328,0.04469,0.79605,0.02251
1,12.0,1.0,0.02708,0.02164,0.81833,0.00379
2,12.0,2.0,0.04639,0.02077,0.21311,0.04794
3,12.0,3.0,0.04537,0.01599,0.45486,0.0036
4,12.0,4.0,0.03419,0.00404,0.18626,0.04705
5,12.0,5.0,0.04964,0.00162,0.07732,0.29607
6,12.0,6.0,0.0691,0.04386,0.52799,0.0205
7,12.0,7.0,0.0485,0.00299,0.58977,0.0175
8,12.0,8.0,0.02068,0.01887,0.90078,0.25105
9,12.0,9.0,0.03426,0.01314,0.38447,0.06133
10,12.0,10.0,0.08175,0.01054,0.80844,0.23351
11,12.0,11.0,0.06267,0.04108,0.3837,0.00242
12,12.0,12.0,0.06587,0.03442,0.97111,0.00537
13,12.0,13.0,0.11186,0.05076,0.61614,0.37206
14,12.0,14.0,0.12014,0.01497,0.40587,0.02185
15,12.0,15.0,0.10058,0.03321,0.61806,0.00542
16,12.0,16.0,0.077,0.03812,0.44772,0.05339
17,12.0,17.0,0.12863,0.02975,0.66085,0.14394
18,12.0,18.0,0.07143,0.04577,0.90132,0.00596
19,12.0,19.0,0.10268,0.05312,0.39291,0.07769
20,12.0,20.0,0.15208,0.024,0.75726,0.25277
21,12.0,21.0,0.10152,0.03901,0.35104,0.02313
22,12.0,22.0,0.10109,0.07749,0.7434,0.25711
23,12.0,23.0,0.1719,0.03276,0.39285,0.32511
24,12.0,24.0,0.11215,0.05215,0.72423,0.08229
25,12.0,25.0,0.17712,0.05441,0.9193,0.10512
26,12.0,26.0,0.12879,0.01637,0.23394,0.02129
27,12.0,27.0,0.12644,0.05296,0.32786,0.03517
28,12.0,28.0,0.10214,0.05158,0.68608,0.05112
29,12.0,29.0,0.1374,0.05839,0.22465,0.00215
30,12.0,30.0,0.22759,0.02923,0.52392,0.01367
1,13.0,1.0,0.02943,0.00369,0.19504,0.00372
2,13.0,2.0,0.08078,0.00792,0.71761,0.08055
3,13.0,3.0,0.02965,0.01755,0.89039,0.00239
4,13.0,4.0,0.03423,0.03264,0.78643,0.29673
5,13.0,5.0,0.09731,0.00997,0.63467,0.09206
6,13.0,6.0,0.02458,0.02034,0.78077,0.32712
7,13.0,7.0,0.07869,0.02997,0.90568,0.00298
8,13.0,8.0,0.07581,0.0104,0.20867,0.01844
9,13.0,9.0,0.03222,0.02531,0.58481,0.01586
10,13.0,10.0,0.02087,0.00107,0.25171,0.04465
11,13.0,11.0,0.11158,0.00599,0.01319,0.02709
12,13.0,12.0,0.08935,0.00051,0.18985,0.00488
13,13.0,13.0,0.0923,0.03298,0.73977,0.00444
14,13.0,14.0,0.14352,0.01312,0.31768,0.08714
15,13.0,15.0,0.10501,0.04495,0.05791,0.00845
16,13.0,16.0,0.09362,0.02778,0.61703,0.0037
17,13.0,17.0,0.0752,0.00126,0.1674,0.10892
18,13.0,18.0,0.1072,0.02291,0.84406,0.02851
19,13.0,19.0,0.11511,0.05586,0.43267,0.00376
20,13.0,20.0,0.11252,0.02065,0.46084,0.0084
21,13.0,21.0,0.11205,0.03018,0.40316,0.01629
22,13.0,22.0,0.18211,0.05853,0.06138,0.00524
23,13.0,23.0,0.18592,0.0351,0.62539,0.02841
24,13.0,24.0,0.12631,0.02925,0.35816,0.00698
25,13.0,25.0,0.11468,0.05112,0.63043,0.0232
26,13.0,26.0,0.1037,0.04451,0.78955,0.00523
27,13.0,27.0,0.14022,0.07403,0.1189,0.06447
28,13.0,28.0,0.10271,0.04748,0.77075,0.09237
29,13.0,29.0,0.15201,0.04156,0.72136,0.04372
30,13.0,30.0,0.16162,0.02705,0.48728,0.06429
1,14.0,1.0,0.04086,0.00089,0.03622,0.04227
2,14.0,2.0,0.08019,0.0012,0.8683,0.11065
3,14.0,3.0,0.07713,0.00844,0.75722,0.32544
4,14.0,4.0,0.02668,0.01586,0.58575,0.19671
5,14.0,5.0,0.04707,0.00401,0.43915,0.0069
6,14.0,6.0,0.06266,0.02961,0.70544,0.12521
7,14.0,7.0,0.05394,0.02179,0.3473,0.00308
8,14.0,8.0,0.0433,0.02319,0.9426,0.01635
9,14.0,9.0,0.06343,0.01174,0.67694,0.00264
10,14.0,10.0,0.02806,0.01394,0.88818,0.16083
11,14.0,11.0,0.02609,0.0053,0.48808,0.0162
12,14.0,12.0,0.04977,0.03276,0.23385,0.11777
13,14.0,13.0,0.05741,0.02056,0.35233,0.03332
14,14.0,14.0,0.11335,0.01479,0.50899,0.23183
15,14.0,15.0,0.06999,0.01883,0.31709,0.00288
16,14.0,16.0,0.09273,0.00803,0.51811,0.07445
17,14.0,17.0,0.08005,0.01979,0.69659,0.19463
18,14.0,18.0,0.07204,0.0177,0.46984,0.02193
19,14.0,19.0,0.0767,0.00096,0.10172,0.06896
20,14.0,20.0,0.10584,0.00837,0.54382,0.27688
21,14.0,21.0,0.14818,0.03755,0.85203,0.01511
22,14.0,22.0,0.0826,0.03379,0.80911,0.00957
23,14.0,23.0,0.17042,0.04339,0.89833,0.3038
24,14.0,24.0,0.17828,0.02414,0.85444,0.13972
25,14.0,25.0,0.07583,0.03333,0.54703,0.00403
26,14.0,26.0,0.1453,0.04492,0.62803,0.16106
27,14.0,27.0,0.08138,0.06705,0.46704,0.03109
28,14.0,28.0,0.17231,0.05818,0.36199,0.01106
29,14.0,29.0,0.17777,0.05146,0.75142,0.01064
30,14.0,30.0,0.15053,0.06126,0.80405,0.1745
1,15.0,1.0,0.0671,0.02256,0.34322,0.12209
2,15.0,2.0,0.00502,0.0029,0.22537,0.11722
3,15.0,3.0,0.03053,0.00601,0.31002,0.02151
4,15.0,4.0,0.0466,0.01626,0.62018,0.08378
5,15.0,5.0,0.01303,0.00315,0.33228,0.00924
6,15.0,6.0,0.03313,0.01712,0.53659,0.17798
7,15.0,7.0,0.08123,0.00683,0.52693,0.33541
8,15.0,8.0,0.06066,0.03599,0.97369,0.01936
9,15.0,9.0,0.09386,0.02753,0.94532,0.02137
10,15.0,10.0,0.08111,0.01913,0.41294,0.02176
11,15.0,11.0,0.05034,0.02619,0.83259,0.00745
12,15.0,12.0,0.07092,0.03075,0.24928,0.43254
13,15.0,13.0,0.0635,0.03123,0.42703,0.0031
14,15.0,14.0,0.06542,0.02791,0.34471,0.29506
15,15.0,15.0,0.07324,0.03337,0.38965,0.00946
16,15.0,16.0,0.02889,0.01347,0.02601,0.00289
17,15.0,17.0,0.12035,0.0374,0.70794,0.00296
18,15.0,18.0,0.08385,0.01139,0.21526,0.0162
19,15.0,19.0,0.13732,0.04578,0.88939,0.01205
20,15.0,20.0,0.11065,0.0256,0.88017,0.03409
21,15.0,21.0,0.15513,0.01737,0.39223,0.04265
22,15.0,22.0,0.12512,0.04144,0.42738,0.03047
23,15.0,23.0,0.10914,0.06101,0.8714,0.12291
24,15.0,24.0,0.16603,0.0435,0.86454,0.00254
25,15.0,25.0,0.14592,0.04583,0.65553,0.01146
26,15.0,26.0,0.23022,0.04509,0.84287,0.22784
27,15.0,27.0,0.16268,0.02584,0.26155,0.22917
28,15.0,28.0,0.08309,0.05143,0.61302,0.05226
29,15.0,29.0,0.18234,0.09082,0.54814,0.09786
30,15.0,30.0,0.14899,0.06692,0.04919,0.01119
1,16.0,1.0,0.03912,0.00943,0.61235,0.01501
2,16.0,2.0,0.05911,0.00553,0.31913,0.21883
3,16.0,3.0,0.06746,0.03824,0.87144,0.005
4,16.0,4.0,0.02487,0.01058,0.73194,0.13226
5,16.0,5.0,0.00984,0.00143,0.84684,0.00305
6,16.0,6.0,0.04192,0.02196,0.29406,0.02919
7,16.0,7.0,0.03664,0.02175,0.06271,0.16489
8,16.0,8.0,0.13258,0.02063,0.37679,0.10273
9,16.0,9.0,0.07706,0.02398,0.94227,0.00439
10,16.0,10.0,0.06896,0.0355,0.43143,0.03058
11,16.0,11.0,0.06829,0.01378,0.62763,0.07634
12,16.0,12.0,0.08435,0.01648,0.21052,0.0848
13,16.0,13.0,0.09133,0.03447,0.29884,0.03446
14,16.0,14.0,0.09627,0.01865,0.39188,0.00373
15,16.0,15.0,0.0553,0.0121,0.45925,0.44462
16,16.0,16.0,0.0962,0.03132,0.38736,0.05884
