,n_com,I,C,M,R,L
6,8.0,6.0,0.06592,0.01396,0.93629,0.46311
7,8.0,7.0,0.15076,0.03982,0.62497,0.00827
8,8.0,8.0,0.12865,0.03208,0.03608,0.00959
9,8.0,9.0,0.18866,0.03053,0.11647,0.02219
10,8.0,10.0,0.19573,0.04912,0.18668,0.00451
1,9.0,1.0,0.02959,0.00508,0.37263,0.04905
2,9.0,2.0,0.0573,0.02034,0.06565,0.0047
3,9.0,3.0,0.06405,0.00922,0.33047,0.02274
4,9.0,4.0,0.07156,0.02513,0.04963,0.00335
5,9.0,5.0,0.09824,0.0306,0.67122,0.00304
6,9.0,6.0,0.14747,0.03129,0.81914,0.01269
7,9.0,7.0,0.10725,0.02755,0.79372,0.00344
8,9.0,8.0,0.11565,0.01048,0.4422,0.18995
9,9.0,9.0,0.13954,0.04313,0.03711,0.00781
10,9.0,10.0,0.22817,0.03246,0.013,0.11884
1,10.0,1.0,0.02152,0.00868,0.08775,0.0274
2,10.0,2.0,0.029,0.00065,0.24368,0.03666
3,10.0,3.0,0.06038,0.02796,0.66092,0.04741
4,10.0,4.0,0.05127,0.01864,0.27536,0.00371
5,10.0,5.0,0.15919,0.0281,0.40639,0.00408
6,10.0,6.0,0.09596,0.02715,0.99792,0.05025
7,10.0,7.0,0.07046,0.02409,0.52627,0.03422
8,10.0,8.0,0.09874,0.02632,0.68832,0.00512
9,10.0,9.0,0.12652,0.02374,0.5141,0.17809
10,10.0,10.0,0.11329,0.05621,0.58514,0.33536
1,11.0,1.0,0.00592,0.00485,0.79512,0.00258
2,11.0,2.0,0.05437,0.00672,0.15613,0.00634
3,11.0,3.0,0.07693,0.00734,0.67691,0.12401
4,11.0,4.0,0.07931,0.03432,0.93727,0.06888
5,11.0,5.0,0.1071,0.02267,0.56027,0.2186
6,11.0,6.0,0.17656,0.02303,0.09894,0.11458
7,11.0,7.0,0.07153,0.04969,0.43216,0.16273
8,11.0,8.0,0.11514,0.03232,0.04701,0.08569
9,11.0,9.0,0.19602,0.02421,0.96526,0.3226
10,11.0,10.0,0.16584,0.06672,0.08179,0.05909
1,12.0,1.0,0.08122,0.01702,0.55394,0.17884
2,12.0,2.0,0.06917,0.01996,0.65913,0.01013
3,12.0,3.0,0.06414,0.00392,0.99028,0.00402
4,12.0,4.0,0.06632,0.00919,0.39443,0.01033
5,12.0,5.0,0.09762,0.0382,0.2649,0.05506
6,12.0,6.0,0.13493,0.05128,0.66202,0.01474
7,12.0,7.0,0.09646,0.01845,0.23932,0.24137
8,12.0,8.0,0.11764,0.05768,0.41315,0.00601
9,12.0,9.0,0.16778,0.04517,0.35595,0.02307
10,12.0,10.0,0.11478,0.03243,0.52307,0.09059
1,13.0,1.0,0.05747,0.01189,0.69308,0.00685
2,13.0,2.0,0.05497,0.00147,0.97101,0.00222
3,13.0,3.0,0.03946,0.00176,0.29043,0.00542
4,13.0,4.0,0.09302,0.01601,0.77257,0.01464
5,13.0,5.0,0.02562,0.01481,0.1846,0.36846
6,13.0,6.0,0.09914,0.02843,0.64129,0.00724
7,13.0,7.0,0.14844,0.03405,0.49424,0.04143
8,13.0,8.0,0.18859,0.0652,0.70361,0.1106
9,13.0,9.0,0.13122,0.05964,0.98021,0.14002
10,13.0,10.0,0.15528,0.05427,0.62324,0.21199
1,14.0,1.0,0.03296,0.0148,0.76306,0.01303
2,14.0,2.0,0.03836,0.03217,0.62866,0.00616
3,14.0,3.0,0.07296,0.0527,0.96409,0.00255
4,14.0,4.0,0.05851,0.00808,0.49766,0.08244
5,14.0,5.0,0.08288,0.01323,0.61904,0.34537
6,14.0,6.0,0.14811,0.02429,0.12018,0.01099
7,14.0,7.0,0.14613,0.04195,0.49688,0.44399
8,14.0,8.0,0.12131,0.03973,0.1342,0.0958
9,14.0,9.0,0.11522,0.0425,0.49578,0.03815
10,14.0,10.0,0.18222,0.05553,0.74264,0.04956
1,15.0,1.0,0.01618,0.01408,0.42529,0.04114
2,15.0,2.0,0.04632,0.00295,0.52935,0.05433
3,15.0,3.0,0.0517,0.01763,0.72201,0.06194
4,15.0,4.0,0.07744,0.0069,0.24759,0.02208
5,15.0,5.0,0.08765,0.03646,0.24215,0.19451
6,15.0,6.0,0.09398,0.02753,0.28535,0.39848
7,15.0,7.0,0.11521,0.03194,0.88761,0.10257
8,15.0,8.0,0.18166,0.04838,0.63981,0.01383
9,15.0,9.0,0.1546,0.03929,0.90186,0.39278
10,15.0,10.0,0.12407,0.068,0.30642,0.01294
1,16.0,1.0,0.03134,0.01669,0.14273,0.14356
2,16.0,2.0,0.04498,0.00333,0.50952,0.00287
3,16.0,3.0,0.09417,0.01426,0.19559,0.04191
4,16.0,4.0,0.09415,0.01361,0.17314,0.00824
5,16.0,5.0,0.0774,0.0168,0.11688,0.00225
6,16.0,6.0,0.12575,0.03495,0.69152,0.34105
7,16.0,7.0,0.10505,0.03629,0.24772,0.00566
8,16.0,8.0,0.06009,0.04664,0.01817,0.04422
9,16.0,9.0,0.16398,0.06555,0.42628,0.02622
10,16.0,10.0,0.11783,0.06443,0.17653,0.00643
1,17.0,1.0,0.05303,0.00179,0.87906,0.39718
2,17.0,2.0,0.05065,0.03254,0.11269,0.06711
3,17.0,3.0,0.10307,0.00608,0.9654,0.00803
4,17.0,4.0,0.10914,0.02381,0.35931,0.00707
5,17.0,5.0,0.12352,0.0446,0.06822,0.15785
6,17.0,6.0,0.06768,0.01893,0.50153,0.26052
7,17.0,7.0,0.12945,0.03925,0.75615,0.36074
8,17.0,8.0,0.11361,0.02621,0.44251,0.44464
9,17.0,9.0,0.188,0.04161,0.98306,0.00492
10,17.0,10.0,0.1349,0.04919,0.2593,0.04764
1,18.0,1.0,0.0591,0.01946,0.49872,0.30077
2,18.0,2.0,0.04523,0.01364,0.40514,0.01248
3,18.0,3.0,0.05429,0.01167,0.75486,0.00956
4,18.0,4.0,0.07439,0.0358,0.54835,0.06066
5,18.0,5.0,0.06623,0.03012,0.14982,0.01475
6,18.0,6.0,0.11604,0.03363,0.75116,0.01418
7,18.0,7.0,0.12906,0.03836,0.58105,0.01536
8,18.0,8.0,0.10002,0.06322,0.96043,0.01528
9,18.0,9.0,0.18444,0.04686,0.19523,0.13852
10,18.0,10.0,0.21136,0.03816,0.5285,0.02508
1,19.0,1.0,0.03032,0.01555,0.26621,0.0124
2,19.0,2.0,0.0565,0.02365,0.35978,0.00896
3,19.0,3.0,0.07042,0.04437,0.24244,0.01009
4,19.0,4.0,0.07211,0.02228,0.14,0.00254
5,19.0,5.0,0.02781,0.0167,0.0882,0.04471
6,19.0,6.0,0.05594,0.00399,0.65294,0.03102
7,19.0,7.0,0.14855,0.03669,0.2525,0.00945
8,19.0,8.0,0.13907,0.04015,0.56393,0.01792
9,19.0,9.0,0.13882,0.06716,0.69808,0.41824
10,19.0,10.0,0.15891,0.03833,0.97515,0.04167
1,20.0,1.0,0.04097,7e-05,0.21548,0.00534
2,20.0,2.0,0.05893,0.05671,0.28396,0.10581
3,20.0,3.0,0.04533,0.01924,0.33222,0.25908
4,20.0,4.0,0.04173,0.01574,0.16665,0.03296
5,20.0,5.0,0.12652,0.03985,0.84606,0.41698
6,20.0,6.0,0.06468,0.02445,0.34563,0.00359
7,20.0,7.0,0.09636,0.05666,0.80582,0.16075
8,20.0,8.0,0.14997,0.03153,0.58844,0.03804
9,20.0,9.0,0.10046,0.03718,0.34206,0.00713
10,20.0,10.0,0.18819,0.01931,0.52632,0.00516
1,21.0,1.0,0.01709,0.00972,0.27839,0.01386
2,21.0,2.0,0.08538,0.02149,0.64375,0.07379
3,21.0,3.0,0.03469,0.00785,0.23702,0.20481
4,21.0,4.0,0.04602,0.01403,0.59229,0.17037
5,21.0,5.0,0.06277,0.02555,0.3201,0.38994
6,21.0,6.0,0.04587,0.0429,0.88935,0.18256
7,21.0,7.0,0.12957,0.02897,0.8266,0.06024
8,21.0,8.0,0.1385,0.02843,0.93945,0.02558
9,21.0,9.0,0.24084,0.04696,0.32186,0.30957
10,21.0,10.0,0.15351,0.03294,0.22734,0.04466
1,22.0,1.0,0.07565,0.00447,0.80399,0.08449
2,22.0,2.0,0.02947,0.01744,0.1825,0.003
3,22.0,3.0,0.08204,0.02331,0.11555,0.0071
4,22.0,4.0,0.10136,0.01639,0.54315,0.0093
5,22.0,5.0,0.09603,0.03939,0.10198,0.022
6,22.0,6.0,0.11622,0.02085,0.34339,0.0121
7,22.0,7.0,0.08483,0.01778,0.69627,0.00872
8,22.0,8.0,0.16516,0.0588,0.63487,0.00894
9,22.0,9.0,0.15737,0.07957,0.83155,0.05397
10,22.0,10.0,0.22566,0.04198,0.50702,0.1474
1,23.0,1.0,0.00965,0.0035,0.12716,0.43544
2,23.0,2.0,0.06379,0.03913,0.65417,0.00643
3,23.0,3.0,0.13216,0.01181,0.41731,0.0391
4,23.0,4.0,0.10632,0.03391,0.17328,0.45482
5,23.0,5.0,0.11387,0.03478,0.01344,0.00566
6,23.0,6.0,0.10979,0.00256,0.73687,0.00357
7,23.0,7.0,0.09982,0.03077,0.56266,0.13593
8,23.0,8.0,0.16128,0.03992,0.64792,0.03392
9,23.0,9.0,0.10443,0.03764,0.19309,0.03168
10,23.0,10.0,0.16439,0.04376,0.70558,0.00494
1,24.0,1.0,0.01923,0.00107,0.71565,0.14385
2,24.0,2.0,0.05966,0.02303,0.6384,0.00259
3,24.0,3.0,0.04785,0.01192,0.28808,0.03897
4,24.0,4.0,0.04738,0.03383,0.95586,0.0869
5,24.0,5.0,0.00248,0.0008,0.76586,0.00273
6,24.0,6.0,0.10621,0.04092,0.43687,0.0291
7,24.0,7.0,0.1118,0.02775,0.06243,0.12217
8,24.0,8.0,0.14837,0.04001,0.13853,0.39522
9,24.0,9.0,0.09461,0.05419,0.66745,0.02311
10,24.0,10.0,0.18011,0.06194,0.80709,0.02505
1,25.0,1.0,0.01962,0.01543,0.45118,0.00208
2,25.0,2.0,0.03547,0.01781,0.04577,0.1363
3,25.0,3.0,0.08952,0.0248,0.63461,0.04386
4,25.0,4.0,0.07037,0.05288,0.16713,0.00477
5,25.0,5.0,0.02935,0.00535,0.80301,0.01067
6,25.0,6.0,0.15926,0.03893,0.24158,0.00798
7,25.0,7.0,0.15346,0.05148,0.00613,0.00257
8,25.0,8.0,0.09691,0.04103,0.7353,0.00421
9,25.0,9.0,0.13617,0.03977,0.4553,0.00433
10,25.0,10.0,0.1703,0.06445,0.29034,0.14711
1,26.0,1.0,0.0813,0.0203,0.53903,0.0067
2,26.0,2.0,0.01562,0.00303,0.07491,0.05518
3,26.0,3.0,0.01998,0.01431,0.23318,0.32933
4,26.0,4.0,0.07931,0.01767,0.88972,0.08551
5,26.0,5.0,0.02946,0.00289,0.38633,0.00692
6,26.0,6.0,0.09609,0.03336,0.79449,0.44494
7,26.0,7.0,0.16236,0.02788,0.97572,0.00917
8,26.0,8.0,0.13869,0.04467,0.15411,0.03657
9,26.0,9.0,0.19409,0.04974,0.35097,0.34881
10,26.0,10.0,0.1658,0.07832,0.36704,0.02089
1,27.0,1.0,0.04422,0.01067,0.35167,0.10568
2,27.0,2.0,0.07459,0.01545,0.78181,0.02682
3,27.0,3.0,0.06997,0.0329,0.40873,0.01971
4,27.0,4.0,0.13499,0.01241,0.20274,0.00795
5,27.0,5.0,0.08142,0.01737,0.46422,0.00905
6,27.0,6.0,0.07826,0.05893,0.54951,0.00384
7,27.0,7.0,0.15962,0.02097,0.36455,0.09525
8,27.0,8.0,0.12746,0.01813,0.30301,0.03019
9,27.0,9.0,0.1406,0.03616,0.17473,0.04278
10,27.0,10.0,0.18406,0.04625,0.98505,0.00431
1,28.0,1.0,0.01461,0.00853,0.96561,0.0304
2,28.0,2.0,0.00735,0.00437,0.58182,0.00821
3,28.0,3.0,0.05009,0.0186,0.69016,0.0028
4,28.0,4.0,0.03501,0.00663,0.96527,0.02307
5,28.0,5.0,0.08659,0.01626,0.77544,0.05976
6,28.0,6.0,0.14159,0.02305,0.96188,0.00234
7,28.0,7.0,0.11226,0.02763,0.22761,0.06777
8,28.0,8.0,0.10852,0.02771,0.53286,0.02098
9,28.0,9.0,0.19396,0.0265,0.1141,0.10484
10,28.0,10.0,0.13798,0.045,0.01688,0.00443
1,29.0,1.0,0.02568,0.00862,0.81132,0.42527
2,29.0,2.0,0.07193,0.02238,0.69432,0.06049
3,29.0,3.0,0.06056,0.01579,0.65205,0.00388
4,29.0,4.0,0.06035,0.04054,0.09399,0.03981
5,29.0,5.0,0.07226,0.01072,0.18969,0.12194
6,29.0,6.0,0.08491,0.01498,0.87898,0.04212
7,29.0,7.0,0.15388,0.04844,0.83894,0.25368
8,29.0,8.0,0.14323,0.05671,0.93966,0.00741
9,29.0,9.0,0.11454,0.01205,0.17252,0.14699
10,29.0,10.0,0.18499,0.07145,0.80486,0.12096
1,30.0,1.0,0.02146,0.01327,0.98364,0.09193
2,30.0,2.0,0.00994,0.0036,0.54561,0.01228
3,30.0,3.0,0.0398,0.01945,0.83335,0.04085
4,30.0,4.0,0.09767,0.04787,0.6877,0.14201
5,30.0,5.0,0.14331,0.0413,0.77377,0.03074
6,30.0,6.0,0.08252,0.00465,0.36169,0.39439
7,30.0,7.0,0.10332,0.03678,0.70743,0.00373
8,30.0,8.0,0.11997,0.01195,0.58286,0.00532
9,30.0,9.0,0.12939,0.06507,0.15632,0.00367
10,30.0,10.0,0.18429,0.03837,0.33718,0.00478
1,31.0,1.0,0.02429,0.00676,0.67439,0.09523
2,31.0,2.0,0.07478,0.00151,0.4669,0.02137
3,31.0,3.0,0.05675,0.01427,0.5085,0.09019
4,31.0,4.0,0.07849,0.00388,0.81168,0.04984
5,31.0,5.0,0.06624,0.01214,0.04824,0.25462
6,31.0,6.0,0.11237,0.03223,0.41786,0.05078
7,31.0,7.0,0.13355,0.01137,0.43718,0.0053
8,31.0,8.0,0.09202,0.01199,0.71727,0.05911
9,31.0,9.0,0.10755,0.03348,0.35162,0.00232
10,31.0,10.0,0.20199,0.05554,0.14682,0.09281
1,32.0,1.0,0.02921,0.00666,0.76934,0.01093
2,32.0,2.0,0.0445,0.02496,0.10388,0.28957
3,32.0,3.0,0.04895,0.02979,0.60177,0.0043
4,32.0,4.0,0.02413,0.01701,0.97677,0.0031
5,32.0,5.0,0.07328,0.05055,0.53196,0.07007
6,32.0,6.0,0.1564,0.04369,0.34425,0.02825
7,32.0,7.0,0.08315,0.05213,0.69346,0.01727
8,32.0,8.0,0.13571,0.05584,0.35398,0.02607
9,32.0,9.0,0.10514,0.06359,0.40412,0.00855
10,32.0,10.0,0.17605,0.03074,0.47707,0.00375
1,33.0,1.0,0.05743,0.00415,0.90895,0.01741
2,33.0,2.0,0.06468,0.00732,0.46754,0.01265
3,33.0,3.0,0.08281,0.01135,0.05201,0.00738
4,33.0,4.0,0.05779,0.00996,0.06786,0.0088
5,33.0,5.0,0.0465,0.03067,0.21252,0.00361
6,33.0,6.0,0.07847,0.003,0.02573,0.29438
7,33.0,7.0,0.10871,0.00759,0.90114,0.03493
8,33.0,8.0,0.12047,0.03222,0.31019,0.39793
9,33.0,9.0,0.13813,0.04053,0.16488,0.32038
10,33.0,10.0,0.17888,0.02354,0.49242,0.138
1,34.0,1.0,0.04151,0.01214,0.63971,0.00712
2,34.0,2.0,0.04241,0.00326,0.872,0.05013
3,34.0,3.0,0.0592,0.03895,0.90447,0.28928
4,34.0,4.0,0.09916,0.00816,0.72249,0.00558
5,34.0,5.0,0.11557,0.02429,0.15189,0.16445
6,34.0,6.0,0.10962,0.02513,0.07634,0.14926
7,34.0,7.0,0.06678,0.03445,0.18,0.03308
8,34.0,8.0,0.13074,0.04419,0.00658,0.03548
9,34.0,9.0,0.09205,0.06887,0.57643,0.16409
10,34.0,10.0,0.17415,0.03161,0.87097,0.00888
1,35.0,1.0,0.03007,0.02231,0.5991,0.00732
2,35.0,2.0,0.04822,0.04512,0.14564,0.44173
3,35.0,3.0,0.11955,0.03814,0.42881,0.04145
4,35.0,4.0,0.05927,0.00548,0.1907,0.01237
5,35.0,5.0,0.09765,0.0102,0.07232,0.41263
6,35.0,6.0,0.05906,0.02177,0.60557,0.00789
7,35.0,7.0,0.09167,0.06073,0.4117,0.21837
8,35.0,8.0,0.1233,0.04791,0.41184,0.08123
9,35.0,9.0,0.18597,0.0098,0.85899,0.05332
10,35.0,10.0,0.12602,0.03681,0.32386,0.46393
1,36.0,1.0,0.02474,0.01652,0.66288,0.15669
2,36.0,2.0,0.0952,0.01531,0.89048,0.4776
3,36.0,3.0,0.03984,0.0365,0.56914,0.00428
4,36.0,4.0,0.03278,0.01062,0.78799,0.24373
5,36.0,5.0,0.05158,0.0319,0.09269,0.0897
6,36.0,6.0,0.1418,0.04954,0.21947,0.00619
7,36.0,7.0,0.07317,0.04677,0.071,0.10802
8,36.0,8.0,0.12843,0.03709,0.51929,0.00965
9,36.0,9.0,0.12173,0.03625,0.01819,0.18071
10,36.0,10.0,0.1423,0.06119,0.3357,0.00221
1,37.0,1.0,0.03302,0.00246,0.4839,0.01103
2,37.0,2.0,0.05408,0.03129,0.86988,0.03328
3,37.0,3.0,0.00673,0.00487,0.83904,0.01017
4,37.0,4.0,0.0402,0.01069,0.9779,0.18718
5,37.0,5.0,0.09082,0.05614,0.15645,0.40227
6,37.0,6.0,0.09897,0.02154,0.38522,0.06421
7,37.0,7.0,0.07317,0.04144,0.59745,0.26577
8,37.0,8.0,0.139,0.02938,0.98645,0.02358
9,37.0,9.0,0.14001,0.04965,0.85432,0.0455
10,37.0,10.0,0.21241,0.05376,0.50689,0.47172
1,38.0,1.0,0.03698,0.02302,0.71379,0.0042
2,38.0,2.0,0.06708,0.0298,0.2681,0.01164
3,38.0,3.0,0.05887,0.00383,0.96138,0.00242
4,38.0,4.0,0.01729,0.01406,0.52746,0.00377
5,38.0,5.0,0.11727,0.03704,0.88702,0.02038
6,38.0,6.0,0.08502,0.00767,0.01578,0.02354
7,38.0,7.0,0.11684,0.04534,0.45405,0.03521
8,38.0,8.0,0.17797,0.04019,0.98606,0.04422
9,38.0,9.0,0.17324,0.01724,0.65531,0.00467
10,38.0,10.0,0.22646,0.02586,0.79197,0.00222
1,39.0,1.0,0.03621,0.01228,0.46669,0.04782
2,39.0,2.0,0.02854,0.02755,0.5127,0.00554
3,39.0,3.0,0.0571,0.04071,0.58683,0.00595
4,39.0,4.0,0.06252,0.03202,0.38076,0.0311
5,39.0,5.0,0.05711,0.03446,0.50156,0.23919
6,39.0,6.0,0.09791,0.04445,0.44163,0.41101
7,39.0,7.0,0.175,0.04585,0.14026,0.00551
8,39.0,8.0,0.13357,0.02448,0.03002,0.00805
9,39.0,9.0,0.15496,0.03889,0.53434,0.11355
10,39.0,10.0,0.17047,0.02968,0.09427,0.0659
1,40.0,1.0,0.03932,0.0113,0.08327,0.3769
2,40.0,2.0,0.06044,0.02689,0.1134,0.00272
3,40.0,3.0,0.04975,0.00753,0.76211,0.02225
4,40.0,4.0,0.09637,0.00826,0.67251,0.03301
5,40.0,5.0,0.11415,0.0301,0.32909,0.14151
6,40.0,6.0,0.07385,0.04701,0.2443,0.01241
7,40.0,7.0,0.04226,0.02196,0.43011,0.00357
8,40.0,8.0,0.12074,0.04327,0.50661,0.03299
9,40.0,9.0,0.22154,0.04184,0.20127,0.01466
10,40.0,10.0,0.15205,0.0543,0.21818,0.04167
1,41.0,1.0,0.05962,0.00752,0.1521,0.00838
2,41.0,2.0,0.02396,0.00368,0.97703,0.09626
3,41.0,3.0,0.05266,0.02821,0.02476,0.19469
4,41.0,4.0,0.02587,0.02571,0.14808,0.00206
5,41.0,5.0,0.07961,0.02606,0.42486,0.29285
6,41.0,6.0,0.11989,0.00295,0.55281,0.01504
7,41.0,7.0,0.10815,0.02001,0.56541,0.00315
8,41.0,8.0,0.15836,0.06395,0.53126,0.0109
9,41.0,9.0,0.09834,0.03447,0.99206,0.05397
10,41.0,10.0,0.17766,0.03289,0.12004,0.10493
1,42.0,1.0,0.07938,0.01566,0.36775,0.03048
2,42.0,2.0,0.05971,0.01864,0.24392,0.16432
3,42.0,3.0,0.05373,0.00838,0.69276,0.01008
4,42.0,4.0,0.05236,0.01669,0.38553,0.01001
5,42.0,5.0,0.14544,0.02703,0.43458,0.01496
6,42.0,6.0,0.09241,0.05417,0.67312,0.00957
7,42.0,7.0,0.09827,0.01827,0.30107,0.00617
8,42.0,8.0,0.12435,0.0398,0.05198,0.00544
9,42.0,9.0,0.13267,0.03425,0.60945,0.04897
10,42.0,10.0,0.24292,0.05186,0.9634,0.13833
1,43.0,1.0,0.0528,0.03716,0.29056,0.0046
2,43.0,2.0,0.04217,0.00972,0.46122,0.00666
3,43.0,3.0,0.06234,0.01734,0.50242,0.01582
4,43.0,4.0,0.04647,0.00539,0.13212,0.00407
5,43.0,5.0,0.06609,0.04845,0.37466,0.01097
6,43.0,6.0,0.13491,0.04171,0.24951,0.01085
7,43.0,7.0,0.1236,0.03565,0.75443,0.00828
8,43.0,8.0,0.12429,0.05255,0.94881,0.00767
9,43.0,9.0,0.16001,0.02056,0.80286,0.01075
10,43.0,10.0,0.16175,0.05792,0.56066,0.00339
1,44.0,1.0,0.03017,0.01069,0.85483,0.03585
2,44.0,2.0,0.02215,0.01403,0.97548,0.05648
3,44.0,3.0,0.02203,0.00351,0.54508,0.00658
4,44.0,4.0,0.06441,0.046,0.72238,0.34216
5,44.0,5.0,0.07436,0.00834,0.05755,0.01754
6,44.0,6.0,0.15922,0.05263,0.64517,0.02358
7,44.0,7.0,0.09648,0.03647,0.8961,0.46383
8,44.0,8.0,0.17658,0.04245,0.81859,0.04704
9,44.0,9.0,0.17195,0.03587,0.9481,0.25224
10,44.0,10.0,0.14529,0.0641,0.01229,0.03809
1,45.0,1.0,0.05182,0.02478,0.79116,0.00229
2,45.0,2.0,0.05907,0.00937,0.9056,0.03207
3,45.0,3.0,0.06935,0.01977,0.79373,0.24433
4,45.0,4.0,0.05392,0.00096,0.74748,0.00317
5,45.0,5.0,0.11909,0.02059,0.41149,0.0039
6,45.0,6.0,0.18009,0.02813,0.90242,0.10503
7,45.0,7.0,0.12264,0.0352,0.81956,0.02561
8,45.0,8.0,0.16662,0.04543,0.74419,0.15257
9,45.0,9.0,0.18644,0.04146,0.29076,0.048
10,45.0,10.0,0.20256,0.06529,0.04159,0.05003
1,46.0,1.0,0.01618,0.0075,0.9712,0.07974
2,46.0,2.0,0.02603,0.02279,0.56683,0.04719
3,46.0,3.0,0.07995,0.03744,0.27708,0.0616
4,46.0,4.0,0.10343,0.03358,0.86378,0.00237
5,46.0,5.0,0.07494,0.02477,0.66881,0.16086
6,46.0,6.0,0.11178,0.03612,0.40749,0.04165
7,46.0,7.0,0.1399,0.03868,0.16652,0.04818
8,46.0,8.0,0.17464,0.05353,0.44087,0.02762
9,46.0,9.0,0.18991,0.0666,0.21375,0.00262
10,46.0,10.0,0.15058,0.05541,0.77754,0.0836
1,47.0,1.0,0.0225,0.00791,0.87742,0.12197
2,47.0,2.0,0.05402,0.02964,0.64111,0.01949
3,47.0,3.0,0.03897,0.0139,0.65467,0.04532
4,47.0,4.0,0.08672,0.00226,0.70152,0.00309
5,47.0,5.0,0.10435,0.02713,0.87448,0.00311
6,47.0,6.0,0.07569,0.03331,0.247,0.34935
